,FDR,fold
HP0559,1.66E-01,0.5281700077
HP0560,2.59E-01,0.6746290431
HP0561,2.78E-03,0.532435369
HP0562,9.40E-02,0.4966484324
HP0563,9.75E-01,1.007239101
HP0564,2.27E-04,0.3036836521
HP0565,4.26E-01,0.8621907943
HP0566,3.12E-02,0.7316318924
HP0567,2.27E-01,1.39140041
HP0568,1.29E-04,0.5461681464
HP0569,3.24E-05,0.4825901761
HP0570,3.10E-11,0.3192206922
HP0571,1.24E-03,0.6184563313
HP0572,7.53E-07,0.4355970369
HP0573,1.62E-01,1.299042524
HP0574,2.69E-03,0.6546386783
HP0575,9.09E-01,1.0264716
HP0576,4.44E-02,0.7449375577
HP0577,1.58E-05,1.852375159
HP0578,4.95E-01,0.7146692309
HP0579,2.87E-01,1.573116445
HP0580,8.80E-01,0.9453720868
HP0581,1.06E-01,0.7526455146
HP0582,3.06E-02,0.6719450164
HP0583,2.97E-05,2.196732271
HP0584,1.76E-02,1.533837609
HP0585,1.76E-01,1.224380339
HP0586,1.65E-01,1.372969147
HP0587,8.98E-02,1.39345574
HP0588,5.29E-01,1.141868083
HP0589,2.76E-01,0.8135084614
HP0590,3.48E-01,0.834690856
HP0591,5.17E-01,0.8787610142
HP0592,6.78E-01,1.100980782
HP0593,3.32E-03,0.5735573988
HP0594,1.17E-02,1.54717898
HP0595,1.45E-01,1.305487294
HP0596,1.63E-03,0.5109471225
HP0597,6.57E-01,0.9264898974
HP0598,4.95E-01,1.122973308
HP0599,1.63E-01,0.7705398814
HP0600,1.32E-02,1.74763968
HP0601,4.82E-01,1.152510017
HP0602,4.75E-02,1.336540985
HP0603,9.28E-01,1.036051379
HP0604,1.42E-06,0.4356093538
HP0605,6.60E-08,0.4062724866
HP0606,1.14E-07,0.4263765177
HP0607,4.29E-05,0.5572820876
HP0608,1.32E-01,0.7971798818
HP0609,4.80E-05,0.5669355985
HP0610,1.66E-02,0.7102679974
HP0611,9.85E-01,1.00682061
HP0612,4.52E-06,0.5024907328
HP0613,4.37E-28,0.2101457127
HP0614,1.04E-03,1.782274717
HP0615,1.29E-01,0.8086038473
HP0616,1.89E-02,1.421417722
HP0617,2.30E-02,0.710519401
HP0618,1.09E-01,0.7704083801
HP0619,7.68E-01,0.9510234587
HP0620,9.20E-04,0.5581271186
HP0621,2.60E-01,1.33375205
HP0622,8.07E-01,1.045333073
HP0623,1.71E-05,1.952659201
HP0624,1.80E-01,1.219709425
HP0625,6.21E-03,1.480112677
HP0626,7.61E-01,0.952135301
HP0627,1.89E-02,1.392228018
HP0628,2.90E-05,1.811792905
HP0629,4.57E-02,1.331094177
HP0630,4.70E-03,1.678386408
HP0631,1.74E-01,1.288459698
HP0632,4.87E-02,1.415368261
HP0633,1.09E-02,1.536325832
HP0634,1.65E-03,1.637532102
HP0635,1.37E-07,2.163415923
HP0636,1.69E-01,0.7721921223
HP0637,7.37E-10,0.3451823921
HP0638,2.94E-03,0.6227193843
HP0639,2.79E-01,0.8424417905
HP0640,2.37E-04,2.893794543
HP0641,2.03E-04,4.421617475
HP0642,4.00E-16,5.110809777
HP0643,2.71E-01,1.208978215
HP0644,3.74E-01,1.151896155
HP0645,8.21E-02,1.505555745
HP0646,1.72E-07,0.4893197864
HP0647,2.98E-05,0.5619159061
HP0648,4.43E-01,0.8699142856
HP0649,9.53E-04,0.5605361376
HP0650,8.79E-02,0.7726578518
HP0651,6.38E-01,1.081422371
HP0652,1.15E-03,1.621490342
HP0653,1.30E-01,1.592524672
HP0654,7.23E-02,0.7713321179
HP0655,1.71E-01,0.803904359
HP0656,1.84E-02,0.6914884326
HP0657,2.43E-09,0.4021233378
HP0658,3.90E-05,0.5028992116
HP0659,3.03E-02,0.7123741445
HP0660,3.82E-02,1.41373509
HP0661,3.70E-02,1.446737186
HP0662,1.95E-01,0.6937902646
HP0663,4.03E-02,0.5485058659
HP0664,4.29E-01,0.879705782
HP0665,4.85E-01,1.121136688
HP0666,5.55E-03,1.645189462
HP0667,8.86E-01,0.9701493488
HP0668,1.97E-02,1.591876959
HP0669,4.95E-01,1.228028148
HP0670,2.33E-01,1.546277738
HP0671,2.53E-02,1.608427135
HP0672,2.46E-01,0.8041073678
HP0673,2.29E-03,0.6186558558
HP0674,5.89E-01,1.100151884
HP0675,1.42E-01,1.559225711
HP0676,8.66E-02,1.563099092
HP0677,7.28E-01,1.073334239
HP0678,1.31E-05,0.5565554167
HP0679,5.86E-01,0.905855714
HP0680,3.80E-01,1.164102327
HP0681,3.47E-27,0.1797888533
HP0682,1.12E-24,0.1670414897
HP0683,4.95E-01,1.115455358
HP0684,1.82E-01,1.231719913
HP0685,1.63E-21,0.2545531453
HP0686,2.24E-22,0.1988962603
HP0687,3.40E-01,1.188747178
HP0688,5.37E-06,0.5230694826
HP0689,2.82E-03,0.5864150481
HP0690,2.09E-09,0.3719613236
HP0691,1.41E-08,0.3792599624
HP0692,8.77E-11,0.3586614943
HP0693,6.60E-10,0.4222431117
HP0694,9.66E-01,1.009143318
HP0695,3.81E-11,0.260041787
HP0696,2.62E-11,0.2734006709
HP0697,4.69E-09,0.2168456025
HP0698,4.79E-01,0.8693451555
HP0699,1.03E-01,1.262278315
HP0700,1.28E-02,1.457269757
HP0701,5.60E-04,0.6192420713
HP0702,2.29E-01,0.81778089
HP0703,1.38E-02,0.6558776872
HP0704,2.42E-08,3.342184009
HP0705,7.37E-01,1.075243205
HP0706,1.04E-01,1.385727388
HP0707,6.43E-05,1.880740493
HP0708,1.24E-03,1.627986324
HP0709,2.92E-75,0.05186622431
HP0710,1.11E-33,0.1563643957
HP0711,7.78E-01,0.9248861048
HP0712,9.80E-01,0.9893168712
HP0713,1.71E-01,1.471891126
HP0714,4.14E-04,2.694989458
HP0715,2.64E-02,1.565760003
HP0716,2.63E-01,1.20209056
HP0717,9.77E-01,1.006347084
HP0718,2.78E-03,0.5482040283
HP0719,7.02E-01,0.839686829
HP0720,8.26E-01,0.8881146896
HP0721,6.01E-01,0.7707745352
HP0722,2.42E-09,0.4257306139
HP0723,9.87E-01,0.9964483864
HP0724,6.82E-01,0.915729964
HP0725,7.91E-23,0.2474612771
HP0726,1.19E-04,1.810995846
HP0727,5.57E-02,1.349981491
HP0728,3.22E-01,1.482840303
HP0729,1.69E-01,1.211926282
HP0730,7.09E-01,0.9269707237
HP0731,1.21E-01,1.317849696
HP0732,2.16E-04,1.782619543
HP0733,2.12E-02,1.952514707
HP0734,4.91E-03,1.46089716
HP0735,2.07E-01,0.8063377179
HP0736,3.01E-01,1.16276567
HP0737,4.61E-04,1.825348347
HP0738,4.89E-02,1.397736677
HP0739,7.77E-08,2.220824973
HP0740,5.91E-02,1.338228848
HP0741,6.21E-04,1.652447833
HP0742,2.77E-02,0.7142005037
HP0743,8.78E-01,0.9673400697
HP0744,1.06E-01,0.7016945516
HP0745,9.96E-04,2.008060307
HP0746,4.48E-01,0.8857101171
