,gene,1' pH7,1' pH5,16' pH7,16' pH5,1' pH7 density,16' pH7 density,1' pH5 density,16' pH5 density
518,HP0519,38,37,37,38,0.045949214026602174,0.044740024183796856,0.044740024183796856,0.045949214026602174
519,HP0520,10,9,8,8,0.029069767441860465,0.023255813953488372,0.02616279069767442,0.023255813953488372
520,HP0521,4,4,4,4,0.016736401673640166,0.016736401673640166,0.016736401673640166,0.016736401673640166
521,HP0522,53,52,53,52,0.036754507628294034,0.036754507628294034,0.036061026352288486,0.036061026352288486
522,HP0523,13,13,13,13,0.025691699604743084,0.025691699604743084,0.025691699604743084,0.025691699604743084
523,HP0524,84,84,83,83,0.03744984395898351,0.03700401248328132,0.03744984395898351,0.03700401248328132
524,HP0525,51,50,48,49,0.05156723963599596,0.04853387259858443,0.05055611729019211,0.04954499494438827
525,HP0526,26,26,26,26,0.0436241610738255,0.0436241610738255,0.0436241610738255,0.0436241610738255
526,HP0527,245,246,245,246,0.04238754325259515,0.04238754325259515,0.04256055363321799,0.04256055363321799
527,HP0528,47,46,47,47,0.030031948881789138,0.030031948881789138,0.02939297124600639,0.030031948881789138
528,HP0529,53,53,53,53,0.033042394014962596,0.033042394014962596,0.033042394014962596,0.033042394014962596
529,HP0530,25,25,25,25,0.033112582781456956,0.033112582781456956,0.033112582781456956,0.033112582781456956
530,HP0531,18,18,18,18,0.027565084226646247,0.027565084226646247,0.027565084226646247,0.027565084226646247
531,HP0532,28,28,27,27,0.033373063170441,0.03218116805721097,0.033373063170441,0.03218116805721097
532,HP0533,0,0,0,0,0.0,0.0,0.0,0.0
533,HP0534,40,41,39,39,0.06814310051107325,0.06643952299829642,0.06984667802385008,0.06643952299829642
534,HP0535,24,24,22,23,0.0636604774535809,0.058355437665782495,0.0636604774535809,0.0610079575596817
535,HP0536,6,6,6,6,0.017595307917888565,0.017595307917888565,0.017595307917888565,0.017595307917888565
536,HP0537,41,41,40,40,0.03637976929902396,0.0354924578527063,0.03637976929902396,0.0354924578527063
537,HP0538,29,29,29,30,0.03162486368593239,0.03162486368593239,0.03162486368593239,0.03271537622682661
538,HP0539,32,31,31,31,0.04507042253521127,0.04366197183098591,0.04366197183098591,0.04366197183098591
539,HP0540,45,45,44,44,0.03940455341506129,0.03852889667250438,0.03940455341506129,0.03852889667250438
540,HP0541,38,38,36,37,0.034265103697024346,0.032461677186654644,0.034265103697024346,0.033363390441839495
541,HP0542,21,20,21,20,0.04941176470588235,0.04941176470588235,0.047058823529411764,0.047058823529411764
542,HP0543,44,45,44,44,0.0547945205479452,0.0547945205479452,0.05603985056039851,0.0547945205479452
543,HP0544,90,87,86,86,0.030529172320217096,0.029172320217096336,0.029511533242876527,0.029172320217096336
544,HP0545,17,17,17,17,0.027419354838709678,0.027419354838709678,0.027419354838709678,0.027419354838709678
545,HP0546,16,16,16,16,0.046511627906976744,0.046511627906976744,0.046511627906976744,0.046511627906976744
546,HP0547,165,163,162,162,0.04638740511667135,0.04554399775091369,0.04582513353949958,0.04554399775091369
547,HP0548,36,36,36,35,0.043689320388349516,0.043689320388349516,0.043689320388349516,0.04247572815533981
548,HP0549,27,27,26,27,0.03534031413612566,0.034031413612565446,0.03534031413612566,0.03534031413612566
549,HP0550,47,47,46,47,0.0357958872810358,0.035034272658035034,0.0357958872810358,0.0357958872810358
550,HP0551,9,8,7,7,0.045,0.035,0.04,0.035
551,HP0552,33,33,33,33,0.03837209302325582,0.03837209302325582,0.03837209302325582,0.03837209302325582
552,HP0553,34,34,36,34,0.05,0.052941176470588235,0.05,0.05
553,HP0554,34,35,34,35,0.035343035343035345,0.035343035343035345,0.036382536382536385,0.036382536382536385
554,HP0555,22,22,22,22,0.02689486552567237,0.02689486552567237,0.02689486552567237,0.02689486552567237
555,HP0556,16,16,16,16,0.03686635944700461,0.03686635944700461,0.03686635944700461,0.03686635944700461
556,HP0557,44,43,42,43,0.047058823529411764,0.044919786096256686,0.045989304812834225,0.045989304812834225
557,HP0558,61,61,61,61,0.04939271255060729,0.04939271255060729,0.04939271255060729,0.04939271255060729
558,HP0559,19,19,19,19,0.0815450643776824,0.0815450643776824,0.0815450643776824,0.0815450643776824
559,HP0560,0,0,0,0,0.0,0.0,0.0,0.0
560,HP0561,30,30,29,29,0.04054054054054054,0.03918918918918919,0.04054054054054054,0.03918918918918919
561,HP0562,11,11,11,11,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842
562,HP0563,50,50,50,50,0.040096230954290296,0.040096230954290296,0.040096230954290296,0.040096230954290296
563,HP0564,10,10,9,10,0.059880239520958084,0.05389221556886228,0.059880239520958084,0.059880239520958084
564,HP0565,29,29,28,28,0.04503105590062112,0.043478260869565216,0.04503105590062112,0.043478260869565216
