gene,ctrl differences,FDR,fold
HP0883,1,0.405,1.155008331
HP0885,1,0.0353,1.673876913
HP0887,8,8.23e-44,0.022144004
HP0889,3,0.000162,1.73739964
HP0897,1,0.000414,1.837525695
HP0900,1,0.598,1.12409893
HP0906,1,0.484,0.541853202
HP0908,3,0.209,1.190328259
HP0910,1,0.0716,1.411286708
HP0911,1,0.0506,1.687614971
HP0912,1,8.56e-06,0.442725603
HP0914,1,3.83e-12,0.347780389
HP0918,1,0.00193,0.645925688
HP0919,4,7.48e-13,0.378270431
HP0922,12,1.23e-08,3.289870395
HP0923,2,0.238,1.216094746
HP0924,1,0.786,0.915454018
HP0925,1,0.586,1.122196755
HP0928,1,1.14e-07,0.453868279
HP0931,2,1.0,1.000065451
HP0933,1,0.00289,1.544868943
HP0937,1,0.0203,1.406463786
HP0942,2,3.79e-12,0.416534252
HP0943,2,2.5e-11,0.380184982
HP0944,1,7.19e-11,0.327163947
HP0949,1,0.000652,1.643342016
HP0950,2,0.113,1.317817174
HP0951,3,2.83e-07,2.26415561
HP0952,1,0.0678,1.316557534
HP0953,2,0.559,0.8878997
HP0957,1,0.129,0.789717008
HP0958,1,0.0138,0.642900321
HP0960,1,0.11,1.276410949
HP0963,1,0.185,1.608630667
HP0964,2,0.963,1.01547041
HP0965,4,0.261,0.804917327
HP0966,1,0.195,0.789050967
HP0969,4,0.0602,1.482249109
HP0970,3,0.0289,1.565837048
HP0971,1,0.00015,1.969007353
HP0972,2,1.24e-05,1.769019461
HP0973,1,0.016,0.66743915
HP0974,1,0.557,1.096090285
HP0976,2,0.482,0.871324306
HP0982,2,0.204,1.26362018
HP0986,1,2.17e-06,2.100935393
HP0988,2,0.83,1.058107817
HP0994,1,0.545,0.900798772
HP0996,2,9.41e-36,0.156205555
HP0997,1,0.249,1.234732256
HP0998,1,0.83,1.058107817
HP1000,1,0.11,0.647810388
HP1007,1,7.33e-09,2.251414568
HP1011,1,0.0101,0.672309837
HP1013,1,0.222,1.193096483
HP1017,1,0.88,1.027614186
HP1019,1,0.112,1.345541628
HP1020,3,1.46e-05,2.133396171
HP1021,1,9.33e-06,2.079563209
HP1026,1,0.508,1.152661955
HP1031,1,1.23e-05,2.033411814
HP1039,1,0.966,1.009742929
HP1041,1,1.25e-05,1.88134586
HP1043,1,0.611,0.900495855
HP1047,1,0.0276,1.494183422
HP1048,4,0.00208,1.653896092
HP1050,2,1.14e-07,2.524517163
HP1055,1,0.925,1.023336493
HP1058,3,4.53e-05,0.539866453
